Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
3397,Diagnostic Pathology,,,
3398,Diagnostic and Prognostic Research,,,
3399,Dialectical Anthropology,0304-4092,1573-0786,1.1 (2022)
3400,Die Anaesthesiologie,2731-6858,2731-6866,1.1 (2022)
3401,Die Chirurgie,2731-6971,2731-698X,0.9 (2022)
3402,Die Dermatologie,2731-7005,2731-7013,0.8 (2022)
3403,Die Diabetologie,2731-7447,2731-7455,0.4 (2022)
3404,Die Gastroenterologie,2731-7420,2731-7439,0.2 (2022)
3405,Die Gynäkologie,2731-7102,2731-7110,0.2 (2022)
3406,Die Innere Medizin,2731-7080,2731-7099,0.6 (2022)
3407,Die Kardiologie,2731-7129,2731-7137,0.9 (2022)
3408,Die MKG-Chirurgie,2731-748X,2731-7498,0.3 (2022)
3409,Die Nephrologie,2731-7463,2731-7471,0.2 (2022)
3410,Die Onkologie,2731-7226,2731-7234,0.3 (2022)
3411,Die Ophthalmologie,2731-720X,2731-7218,0.9 (2022)
3412,Die Orthopädie,2731-7145,2731-7153,0.8 (2022)
3413,Die Pathologie,2731-7188,2731-7196,1.0 (2022)
3414,Die Psychotherapie,2731-7161,2731-717X,0.7 (2022)
3415,Die Radiologie,2731-7048,2731-7056,0.7 (2022)
3416,Die Unfallchirurgie,2731-7021,2731-703X,0.8 (2022)
3417,Die Urologie,2731-7064,2731-7072,0.6 (2022)
3418,Die Weltwirtschaft,,,
3419,Die junge Zahnmedizin,2731-9016,2731-9024,"33,332 (2022)"
3420,Differential Equations,0012-2661,1608-3083,0.6 (2022)
3421,Differential Equations and Dynamical Systems,0971-3514,0974-6870,1.0 (2022)
3422,Digestive Diseases and Sciences,0163-2116,1573-2568,3.1 (2022)
3424,Digital Experiences in Mathematics Education,2199-3246,2199-3254,"76,974 (2022)"
3425,Digital Finance,,,7 days
3426,Digital Society,2731-4650,2731-4669,18 days
3428,Digitale Welt,,,
3429,Directieve therapie,,,
3430,Disaster and Military Medicine,,,
3431,Disciplinary and Interdisciplinary Science Education Research,,,
3454,Discrete & Computational Geometry,0179-5376,1432-0444,0.8 (2022)
3455,Discrete Event Dynamic Systems,0924-6703,1573-7594,2.0 (2022)
3456,Disease Management and Health Outcomes,,,
3457,Diseases of the Colon & Rectum,,,
3458,Distributed Computing,0178-2770,1432-0452,1.3 (2022)
3459,Distributed and Parallel Databases,0926-8782,1573-7578,1.2 (2022)
3460,Documenta Ophthalmologica,0012-4486,1573-2622,1.4 (2022)
3461,Doklady Biochemistry and Biophysics,1607-6729,1608-3091,0.8 (2022)
3462,Doklady Biological Sciences,0012-4966,1608-3105,"13,864 (2022)"
3463,Doklady Biophysics,,,
3464,Doklady Botanical Sciences,,,
3465,Doklady Chemical Technology,,,
3466,Doklady Chemistry,0012-5008,1608-3113,0.8 (2022)
3467,Doklady Earth Sciences,1028-334X,1531-8354,0.9 (2022)
3468,Doklady Mathematics,1064-5624,1531-8362,0.6 (2022)
3469,Doklady Physical Chemistry,0012-5016,1608-3121,0.9 (2022)
3470,Doklady Physics,1028-3358,1562-6903,0.8 (2022)
3471,Douleur et Analgésie,,,
3472,Dr. Sulaiman Al Habib Medical Journal,2666-819X,2590-3349,19 days
3473,Dreaming,,,
3474,Drug Delivery and Translational Research,2190-393X,2190-3948,5.4 (2022)
3475,Drug Safety,0114-5916,1179-1942,4.2 (2022)
3476,Drug Safety - Case Reports,,,
3477,Drugs,0012-6667,1179-1950,11.5 (2022)
3478,Drugs & Aging,1170-229X,1179-1969,2.8 (2022)
3479,Drugs & Therapy Perspectives,1172-0360,1179-1977,1.2 (2022)
3480,Drugs - Real World Outcomes,,,2.0 (2022)
3481,Drugs in R&D,1174-5886,1179-6901,3.0 (2022)
3482,Dublin Journal of Medical Science (1836-1845),,,
3483,Dublin Journal of Medical Science (1872-1920),,,
3484,Dublin Journal of Medical Science (1920-1922),,,
3485,Dublin Quarterly Journal of Medical Science,,,
3486,Dynamic Games and Applications,2153-0785,2153-0793,1.5 (2022)
3487,Dynamic Medicine,,,
3488,Dynamics and Control,,,
3489,Dysphagia,0179-051X,1432-0460,2.6 (2022)
3490,der markt,,,
3491,3 Biotech,,,2.8 (2022)
3492,3D Printing in Medicine,,,
3493,3D Research,,,
3494,4OR,1619-4500,1614-2411,2.0 (2022)
3495,Österreichische Wasser- und Abfallwirtschaft,0945-358X,1613-7566,"126,904 (2022)"
3496,Österreichische Zeitschrift für Soziologie,1011-0070,1862-2585,0.7 (2022)
3497,ästhetische dermatologie & kosmetologie,,,"136,863 (2022)"
3498,BHM Berg- und Hüttenmännische Monatshefte,0005-8912,1613-7531,"143,644 (2022)"
3499,BIOspektrum,0947-0867,1868-6249,"45,809 (2022)"
3500,BIT Numerical Mathematics,0006-3835,1572-9125,1.5 (2022)
3501,BMC Anesthesiology,,,
3502,BMC Biochemistry,,,
3503,BMC Bioinformatics,,,
3505,BMC Biomedical Engineering,,,
3506,BMC Biophysics,,,
3507,BMC Biotechnology,,,
3508,BMC Cancer,,,
3509,BMC Cardiovascular Disorders,,,
3510,BMC Chemical Biology,,,
3511,BMC Chemical Engineering,,,
3512,BMC Chemistry,,,
3513,BMC Clinical Pathology,,,
3514,BMC Clinical Pharmacology,,,
3515,BMC Complementary Medicine and Therapies,,,
3516,BMC Dermatology,,,
3517,BMC Developmental Biology,,,
3518,BMC Digital Health,,,
3519,"BMC Ear, Nose and Throat Disorders",,,
3520,BMC Ecology,,,
3521,BMC Ecology and Evolution,,,
3522,BMC Emergency Medicine,,,
3523,BMC Endocrine Disorders,,,
3524,BMC Energy,,,
3525,BMC Gastroenterology,,,
3526,BMC Genomic Data,,,
3527,BMC Genomics,,,
3528,BMC Geriatrics,,,
3530,BMC Health Services Research,,,
3531,BMC Hematology,,,
3532,BMC Immunology,,,
3533,BMC Infectious Diseases,,,
3534,BMC International Health and Human Rights,,,
3535,BMC Materials,,,
3536,BMC Medical Education,,,
3537,BMC Medical Ethics,,,
3538,BMC Medical Genetics,,,
3539,BMC Medical Genomics,,,
3540,BMC Medical Imaging,,,
3541,BMC Medical Informatics and Decision Making,,,
3542,BMC Medical Physics,,,
3543,BMC Medical Research Methodology,,,
3545,BMC Microbiology,,,
3546,BMC Molecular Biology,,,
3547,BMC Molecular and Cell Biology,,,
3548,BMC Musculoskeletal Disorders,,,
3549,BMC Nephrology,,,
3550,BMC Neurology,,,
3551,BMC Neuroscience,,,
3552,BMC Nursing,,,
3553,BMC Nutrition,,,
3554,BMC Obesity,,,
3555,BMC Ophthalmology,,,
3556,BMC Oral Health,,,
3557,BMC Palliative Care,,,
3558,BMC Pediatrics,,,
3559,BMC Pharmacology,,,
3560,BMC Pharmacology and Toxicology,,,
3561,BMC Physiology,,,
3562,BMC Plant Biology,,,
3563,BMC Pregnancy and Childbirth,,,
3564,BMC Primary Care,,,
3565,BMC Proceedings,,,
3566,BMC Psychiatry,,,
3567,BMC Psychology,,,
3568,BMC Public Health,,,
3569,BMC Pulmonary Medicine,,,
3570,BMC Research Notes,,,
3571,BMC Rheumatology,,,
3572,"BMC Sports Science, Medicine and Rehabilitation",,,
3573,BMC Structural Biology,,,
3574,BMC Surgery,,,
3575,BMC Systems Biology,,,
3576,BMC Urology,,,
3577,BMC Veterinary Research,,,
3578,BMC Women's Health,,,
3579,BMC Zoology,,,
3580,BMSAP,,,
3581,BT Technology Journal,,,
3582,Banach Journal of Mathematical Analysis,2662-2033,1735-8787,1.2 (2022)
3583,Bandung: Journal of the Global South,,,
3584,Basic Research in Cardiology,,,9.5 (2022)
3585,Basic and Clinical Andrology,,,
3586,Baurechtliche Blätter,,,
3587,Behavior Analysis and Social Action,,,
3588,Behavior Analysis in Practice,1998-1929,2196-8934,2.2 (2022)
3589,Behavior Genetics,0001-8244,1573-3297,2.6 (2022)
3590,Behavior Research Methods,,,5.4 (2022)
3591,Behavior and Social Issues,1064-9506,2376-6786,1.6 (2022)
3592,Behavioral Ecology and Sociobiology,0340-5443,1432-0762,2.3 (2022)
3593,Behavioral and Brain Functions,,,
3594,Behaviormetrika,0385-7417,1349-6964,10 days
3595,Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry,0138-4821,2191-0383,0.5 (2022)
3596,Beni-Suef University Journal of Basic and Applied Sciences,,,
3597,Berliner Journal für Soziologie,0863-1808,1862-2593,1.1 (2022)
3598,Big Data Analytics,,,
3599,Bijblijven,,,
3600,Bijzijn,,,
3601,Bijzijn XL,,,
3602,Bio tribune magazine,,,
3603,Bio-Design and Manufacturing,2096-5524,2522-8552,7.9 (2022)
3604,BioChip Journal,1976-0280,2092-7843,4.3 (2022)
3605,BioControl,1386-6141,1573-8248,2.5 (2022)
3606,BioData Mining,,,
3607,BioDrugs,1173-8804,1179-190X,6.8 (2022)
3608,BioEnergy Research,1939-1234,1939-1242,3.6 (2022)
3609,BioMagnetic Research and Technology,,,
3610,BioMedical Engineering OnLine,,,
3611,BioMedicine,,,
3612,BioMetals,0966-0844,1572-8773,3.5 (2022)
3613,BioNanoScience,2191-1630,2191-1649,3.0 (2022)
3614,BioPsychoSocial Medicine,,,
3616,Bioanalytical Reviews,,,
3619,Biochemistry (Moscow),0006-2979,1608-3040,2.8 (2022)
3620,"Biochemistry (Moscow), Supplement Series A: Membrane and Cell Biology",1990-7478,1990-7494,0.5 (2022)
3621,"Biochemistry (Moscow), Supplement Series B: Biomedical Chemistry",1990-7508,1990-7516,0.6 (2022)
3622,Biodegradation,0923-9820,1572-9729,3.6 (2022)
3623,Biodiversity and Conservation,0960-3115,1572-9710,3.4 (2022)
3624,Bioelectronic Medicine,,,
3625,Biogeochemistry,0168-2563,1573-515X,4.0 (2022)
3626,Biogerontology,1389-5729,1573-6768,4.5 (2022)
3627,Biointerphases,,,
3628,Biologia,0006-3088,1336-9563,1.5 (2022)
3629,Biologia Futura,2676-8615,2676-8607,2.1 (2022)
3630,Biologia Plantarum,,,
3631,Biological Cybernetics,0340-1200,1432-0770,1.9 (2022)
3632,Biological Invasions,1387-3547,1573-1464,2.9 (2022)
3633,Biological Procedures Online,,,
3634,Biological Research,,,
3635,Biological Theory,1555-5542,1555-5550,14 days
3636,Biological Trace Element Research,0163-4984,1559-0720,3.9 (2022)
3637,Biologics in Therapy,,,
3638,Biology & Philosophy,0169-3867,1572-8404,2.5 (2022)
3639,Biology Bulletin,1062-3590,1608-3059,0.5 (2022)
3640,Biology Bulletin Reviews,2079-0864,2079-0872,"20,647 (2022)"
3641,Biology Direct,,,
3642,Biology and Fertility of Soils,0178-2762,1432-0789,6.5 (2022)
3643,Biology of Mood & Anxiety Disorders,,,
3644,Biology of Sex Differences,,,
3645,Biomanufacturing Reviews,,,
3646,Biomarker Research,,,
3647,Biomass Conversion and Biorefinery,2190-6815,2190-6823,4.0 (2022)
3648,Biomaterials Research,,,
3649,Biomechanics and Modeling in Mechanobiology,1617-7959,1617-7940,3.5 (2022)
3650,Biomedical Dermatology,,,
3651,Biomedical Digital Libraries,,,
3652,Biomedical Engineering,0006-3398,1573-8256,0.3 (2022)
3653,Biomedical Engineering Education,2730-5937,2730-5945,"54,806 (2022)"
3654,Biomedical Engineering Letters,2093-9868,2093-985X,4.6 (2022)
3655,Biomedical Materials & Devices,2731-4812,2731-4820,9 days
3656,Biomedical Microdevices,1387-2176,1572-8781,2.8 (2022)
3657,Biomedical Research and Therapy,,,
3658,Biomolecular NMR Assignments,1874-2718,1874-270X,0.9 (2022)
3659,Biophysical Economics and Sustainability,2730-7190,2730-7204,9 days
3660,Biophysical Reviews,,,10 days
3661,Biophysics,0006-3509,1555-6654,"22,629 (2022)"
3662,Biophysics Reports,,,
3663,Bioprocess and Biosystems Engineering,1615-7591,1615-7605,3.8 (2022)
3664,Bioresources and Bioprocessing,,,
3665,Bioscience Reports,,,
3666,Biosemiotics,1875-1342,1875-1350,1.6 (2022)
3667,Bioseparation,,,
3668,Biotechnology Letters,0141-5492,1573-6776,2.7 (2022)
3669,Biotechnology Techniques,,,
3670,Biotechnology and Bioprocess Engineering,1226-8372,1976-3816,3.2 (2022)
3671,Biotechnology for Biofuels and Bioproducts,,,
3672,Biotherapy,,,
3673,Blätter der DGVFM,,,
3674,Boletín de la Sociedad Matemática Mexicana,1405-213X,2296-4495,1.0 (2022)
3675,Bollettino dell'Unione Matematica Italiana,1972-6724,2198-2759,0.7 (2022)
3676,Borderline Personality Disorder and Emotion Dysregulation,,,
3677,Botanical Studies,,,
3678,Boundary Value Problems,,,
3679,Boundary-Layer Meteorology,0006-8314,1573-1472,4.3 (2022)
3680,Brain Cell Biology,,,
3681,Brain Imaging and Behavior,1931-7557,1931-7565,3.2 (2022)
3682,Brain Informatics,,,
3683,Brain Structure and Function,1863-2653,1863-2661,3.1 (2022)
3684,Brain Topography,0896-0267,1573-6792,2.7 (2022)
3685,Brain Tumor Pathology,1433-7398,1861-387X,3.3 (2022)
3686,Brain and Mind,,,
3687,Brazilian Journal of Botany,,,1.6 (2022)
3688,Brazilian Journal of Chemical Engineering,0104-6632,1678-4383,1.2 (2022)
3689,Brazilian Journal of Microbiology,1517-8382,1678-4405,2.2 (2022)
3690,Brazilian Journal of Physics,0103-9733,1678-4448,1.6 (2022)
3691,Brazilian Journal of Science and Technology,,,
3692,Breast Cancer,1340-6868,1880-4233,4.0 (2022)
3693,Breast Cancer Research,,,
3694,Breast Cancer Research and Treatment,0167-6806,1573-7217,3.8 (2022)
3696,Brittonia,0007-196X,1938-436X,0.9 (2022)
3697,Building Simulation,1996-3599,1996-8744,5.5 (2022)
3698,International Journal of Health Geographics,,,
3699,International Journal of Hematology,0925-5710,1865-3774,2.1 (2022)
3700,International Journal of Hindu Studies,1022-4556,1574-9282,0.2 (2022)
3701,International Journal of Historical Archaeology,1092-7697,1573-7748,0.8 (2022)
3702,International Journal of Implant Dentistry,,,
3703,International Journal of Industrial Chemistry,,,
3704,International Journal of Information Security,1615-5262,1615-5270,3.2 (2022)
3705,International Journal of Information Technology,2511-2104,2511-2112,8 days
3706,International Journal of Intelligent Robotics and Applications,2366-5971,2366-598X,1.7 (2022)
3707,International Journal of Intelligent Transportation Systems Research,1348-8503,1868-8659,2.1 (2022)
3708,International Journal of Latin American Religions,2509-9957,2509-9965,1.1 (2022)
3709,International Journal of Legal Medicine,0937-9827,1437-1596,2.1 (2022)
3710,International Journal of Machine Learning and Cybernetics,1868-8071,1868-808X,5.6 (2022)
3711,International Journal of Material Forming,1960-6206,1960-6214,2.4 (2022)
3712,International Journal of Mechanical and Materials Engineering,,,
3713,International Journal of Mechanics and Materials in Design,1569-1713,1573-8841,3.7 (2022)
3714,International Journal of Mental Health Systems,,,
3715,International Journal of Mental Health and Addiction,1557-1874,1557-1882,8.0 (2022)
3716,International Journal of Metalcasting,1939-5981,2163-3193,2.6 (2022)
3717,"International Journal of Minerals, Metallurgy and Materials",1674-4799,1869-103X,4.8 (2022)
3718,International Journal of Multimedia Information Retrieval,2192-6611,2192-662X,5.6 (2022)
3719,International Journal of Networked and Distributed Computing,2211-7938,2211-7946,1.7 (2022)
3720,International Journal of Occupational Medicine and Environmental Health,,,
3721,International Journal of Parallel Programming,0885-7458,1573-7640,1.5 (2022)
3722,International Journal of Pavement Research and Technology,1996-6814,1997-1400,13 days
3723,International Journal of Pediatric Endocrinology,,,
3724,International Journal of Peptide Research and Therapeutics,,,2.5 (2022)
3725,International Journal of Plant Production,1735-6814,1735-8043,2.5 (2022)
3726,International Journal of Plastics Technology,,,
3727,"International Journal of Politics, Culture, and Society",0891-4486,1573-3416,1.1 (2022)
3728,International Journal of Precision Engineering and Manufacturing,2234-7593,2005-4602,1.9 (2022)
3729,International Journal of Precision Engineering and Manufacturing-Green Technology,2288-6206,2198-0810,4.2 (2022)
3730,International Journal of Primatology,0164-0291,1573-8604,2.5 (2022)
3731,International Journal of Public Health,,,
3732,International Journal of Quality Innovation,,,
3733,International Journal of Recycling of Organic Waste in Agriculture,,,
3734,International Journal of Rehabilitation and Health,,,
3735,International Journal of Research in Undergraduate Mathematics Education,2198-9745,2198-9753,1.5 (2022)
3736,International Journal of Retina and Vitreous,,,
3737,International Journal of STEM Education,,,
3738,International Journal of Salt Lake Research,,,
3739,International Journal of Science and Mathematics Education,1571-0068,1573-1774,2.2 (2022)
3740,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,1934-788X,0.6 (2022)
3741,International Journal of Sexuality and Gender Studies,,,
3742,International Journal of Social Robotics,1875-4791,1875-4805,4.7 (2022)
3743,International Journal of Speech Technology,1381-2416,1572-8110,111 days
3744,International Journal of Steel Structures,1598-2351,2093-6311,1.5 (2022)
3745,International Journal of Stress Management,,,
3746,International Journal of System Assurance Engineering and Management,0975-6809,0976-4348,2.0 (2022)
3747,International Journal of Technology and Design Education,0957-7572,1573-1804,2.1 (2022)
3748,International Journal of Theoretical Physics,,,1.4 (2022)
3749,International Journal of Thermophysics,0195-928X,1572-9567,2.2 (2022)
3750,International Journal of Tropical Insect Science,,,1.2 (2022)
3751,International Journal of Value-Based Management,,,
3752,International Journal of Wireless Information Networks,1068-9605,1572-8129,2.5 (2022)
3753,International Journal of the Classical Tradition,1073-0508,1874-6292,0.2 (2022)
3754,International Journal of the Sociology of Leisure,2520-8683,2520-8691,11 days
3755,"International Journal on Child Maltreatment: Research, Policy and Practice",2524-5236,2524-5244,13 days
3756,International Journal on Digital Libraries,1432-5012,1432-1300,1.5 (2022)
3757,International Journal on Document Analysis and Recognition (IJDAR),1433-2833,1433-2825,2.3 (2022)
3758,International Journal on Interactive Design and Manufacturing (IJIDeM),1955-2513,1955-2505,2.1 (2022)
3759,International Journal on Software Tools for Technology Transfer,1433-2779,1433-2787,1.5 (2022)
3760,International Microbiology,1139-6709,1618-1905,3.1 (2022)
3761,International Nano Letters,,,3.7 (2022)
3762,International Ophthalmology,,,1.6 (2022)
3763,International Orthopaedics,0341-2695,1432-5195,2.7 (2022)
3766,International Review of Economics,1865-1704,1863-4613,13 days
3767,International Review of Education,0020-8566,1573-0638,3.2 (2022)
3768,International Review on Public and Nonprofit Marketing,,,1.7 (2022)
3769,International Seminars in Surgical Oncology,,,
3770,International Tax and Public Finance,0927-5940,1573-6970,1.0 (2022)
3771,International Urogynecology Journal,0937-3462,1433-3023,1.8 (2022)
3772,International Urology and Nephrology,0301-1623,1573-2584,2.0 (2022)
3773,International journal of clinical monitoring and computing,,,
3774,Inventiones mathematicae,0020-9910,1432-1297,3.1 (2022)
3775,Invertebrate Neuroscience,,,
3776,Investigational New Drugs,0167-6997,1573-0646,3.4 (2022)
3777,Investigative Genetics,,,
3778,Ionics,0947-7047,1862-0760,2.8 (2022)
3779,Iran Journal of Computer Science,2520-8438,2520-8446,18 days
3780,Iranian Journal of Science,2731-8095,2731-8109,1.7 (2022)
3781,"Iranian Journal of Science and Technology, Transactions of Civil Engineering",2228-6160,2364-1843,1.7 (2022)
3782,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",2228-6179,2364-1827,2.4 (2022)
3783,"Iranian Journal of Science and Technology, Transactions of Mechanical Engineering",2228-6187,2364-1835,1.3 (2022)
3784,Iranian Polymer Journal,1026-1265,1735-5265,3.1 (2022)
3785,Irish Journal of Medical Science (1922-1925),,,
3786,Irish Journal of Medical Science (1926-1967),,,
3787,Irish Journal of Medical Science (1968-1970),,,
3788,Irish Journal of Medical Science (1971 -),,,2.1 (2022)
3789,Irish Veterinary Journal,,,
3790,Irrigation Science,0342-7188,1432-1319,3.0 (2022)
3791,Irrigation and Drainage Systems,,,
3792,Israel Journal of Health Policy Research,,,
